song_id,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,label,parjaay
507,99.38401442,120038,1250.395833,0.225841761,0.302935749,0.091770068,0.391237319,0.291567355,0.085011519,0.230250503,0.17412076,0.030318039,0.934758306,6.92235899,47.91905594,-8.10106945,62.5703392,3915.047363,0.003050735,3.052815199,9.319680214,0.0642763,0.023283668,0.000542129,1673.638658,535.3280974,286576.1718,1914.782566,480.9334568,231296.9898,25.0572424,6.695664995,44.83192973,3431.241752,1349.197344,1820333.473,0.651516479,0.761600988,0.580036065,0.005487673,0.08830341,0.007797492,0.076517489,0.026379129,0.000695858,-0.023608794,0.055269729,0.003054743,-9.51E-05,0.021810826,0.000475712,1.840181406,1.044997929,1.092020672,2,prem
508,161.4990234,196174,1265.63871,0.242005885,0.319180995,0.101876505,0.417143285,0.290725589,0.084521368,0.2367065,0.165237303,0.027303366,2.371101856,16.63725853,276.7983704,-10.45544815,56.52391052,3194.952393,0.001185749,2.405920744,5.788455009,0.094790064,0.041363899,0.001710972,2009.377272,600.2269296,360272.367,2247.976032,422.434147,178450.6086,23.38677242,6.622201338,43.85355057,4166.545639,1293.945363,1674294.602,0.85613745,1.029002396,1.058845931,0.001462355,0.087825724,0.007713358,0.083540311,0.03993403,0.001594727,-0.000109813,0.094575927,0.008944606,-0.000192771,0.027005116,0.000729276,4.471002268,1.602437233,2.567805085,2,prem
509,172.265625,218750,1279.239766,0.280344844,0.309675843,0.09589912,0.370519757,0.28983748,0.084005758,0.225434551,0.180312497,0.032512597,0.453221649,3.465843916,12.01207352,-9.850645065,68.97589874,4757.674316,0.004010479,2.359448433,5.566997051,0.057496179,0.014305944,0.00020466,1430.217717,437.9667381,191814.8637,1848.90244,419.7499334,176190.0066,25.38859457,6.90310026,47.6527932,3170.71416,1020.784242,1042000.469,0.506949664,0.568416543,0.323097366,-0.023250419,0.094108355,0.008856383,0.030914212,0.022040166,0.000485769,-0.041180994,0.039512876,0.001561268,-9.26E-06,0.009520335,9.06E-05,2.107210884,1.211825274,1.468520495,2,prem
510,123.046875,148513,1269.34188,0.319908231,0.291454285,0.084945597,0.464592814,0.264856994,0.070149221,0.257276815,0.13092736,0.017141974,1.559212565,8.707170486,75.81481171,-4.598965168,50.63193893,2563.593262,0.00892435,3.16364336,10.00863934,0.079316206,0.032292716,0.00104282,1844.315438,555.4195464,308490.8725,1938.366312,444.9382349,197970.0329,22.75526862,7.119663039,50.68960179,3687.336037,1316.002052,1731861.4,1.02262184,1.206783149,1.45632557,0.029274782,0.077150879,0.005952258,0.090762301,0.029854423,0.000891287,-6.31E-07,0.070494249,0.004969439,-2.91E-05,0.028920336,0.000836386,1.885460317,1.156078613,1.336517759,2,prem
511,135.9991776,164796,1257.984733,0.269295216,0.306631327,0.094022766,0.363949299,0.290567905,0.084429711,0.226728173,0.178683152,0.031927669,3.178203344,33.39748764,1115.39209,-9.763551712,54.20534134,2938.218994,0.008569336,2.285685778,5.224359512,0.107181847,0.053253815,0.002835969,1612.974656,300.5030985,90302.11219,1673.806908,291.9208966,85217.8099,25.29325526,8.597609999,73.9188977,3000.040193,743.1202617,552227.7234,1.069700624,1.254834783,1.574610333,-0.009685923,0.104723839,0.010967082,0.079218342,0.025103291,0.000630175,-1.30E-06,0.106748946,0.011395338,-1.39E-05,0.03355673,0.001126054,2.90829932,1.494540526,2.233651383,2,prem
512,151.9990809,189521,1280.547297,0.292882651,0.30004999,0.090029992,0.457940876,0.26403892,0.06971655,0.250903699,0.142760875,0.020380667,2.334429502,12.16627407,148.018219,-7.855399132,58.54241562,3427.2146,0.009934889,2.847769499,8.109791756,0.096436061,0.03797422,0.001442041,1328.736099,354.0765946,125370.2348,1438.967635,299.4137651,89648.60273,24.29744071,8.854226032,78.39731863,2306.736051,799.3395788,638943.7622,1.126770587,1.35078225,1.824612687,-0.019994959,0.086283182,0.007444787,0.074356315,0.025814487,0.000666388,-5.78E-06,0.083942935,0.007046416,-3.10E-05,0.038636599,0.001492787,4.073941043,2.318457241,5.375243977,2,prem
513,86.1328125,108565,1277.235294,0.23460941,0.304482967,0.092709869,0.354746789,0.293063372,0.085886136,0.221855944,0.18469779,0.034113274,1.454209328,10.34530258,107.0252914,-8.855261803,64.28726196,4132.852539,0.006385428,2.562217951,6.564961433,0.076491468,0.030570574,0.00093456,1347.262953,408.0680625,166519.5436,1643.223317,295.1460733,87111.20456,25.19045156,6.567130134,43.1271982,2704.900311,849.5885185,721800.6507,0.733852167,0.861428991,0.742059907,-0.000893553,0.100153964,0.010030817,0.051216433,0.021897691,0.000479509,-0.021927418,0.0739678,0.005471235,-8.47E-05,0.016708463,0.000279173,2.203573696,1.268347381,1.608705079,2,prem
514,123.046875,155831,1309.504202,0.233208433,0.311080307,0.096770965,0.377614319,0.293982029,0.086425439,0.229514907,0.175089237,0.030656241,3.153854132,25.51127815,650.8253174,-10.34762192,57.14700317,3265.779785,0.006162765,2.552391052,6.514699936,0.107985154,0.046037905,0.002119489,1809.246328,662.1350952,438422.8842,2214.822963,427.4069703,182676.7183,24.25406655,6.461746735,41.75417087,3805.776987,1476.518401,2180106.59,0.856811059,0.980608528,0.961593086,0.000719008,0.091872619,0.008440578,0.062518896,0.041473265,0.001720032,-0.000127931,0.112121306,0.012571187,-0.000228906,0.020273378,0.00041101,4.184235828,1.222318351,1.49406215,2,prem
515,151.9990809,188596,1274.297297,0.23670277,0.314938873,0.099186487,0.413436025,0.291100293,0.084739387,0.233215396,0.170129105,0.028943912,2.413096189,16.36560631,267.8330688,-8.177095413,51.26964188,2628.576172,0.006265876,2.216696739,4.91374445,0.098061167,0.037469123,0.001403935,2196.752228,496.3820577,246395.1472,2380.763421,326.0163728,106286.6753,23.87507506,6.995712719,48.93999644,4462.402183,1043.680435,1089268.851,0.916011529,1.061549218,1.126886742,-0.005942129,0.088553313,0.007841689,0.086764593,0.038583994,0.001488725,-0.000101002,0.096066624,0.009228796,-0.000243596,0.027046194,0.000731497,4.763573696,2.082977155,4.338793827,2,prem
516,151.9990809,192894,1277.443709,0.226937428,0.296490103,0.087906383,0.410584629,0.281733781,0.079373918,0.235949539,0.16631641,0.027661148,1.515561461,10.07917786,101.5898209,-8.572404861,56.83343506,3230.039551,0.003943587,2.396933079,5.745288372,0.080154568,0.026804216,0.000718466,1616.855032,454.2417557,206335.5726,1916.906707,395.4999061,156420.1757,25.42663851,6.130801632,37.58672866,3408.112725,1139.777105,1299091.85,0.809229158,0.896900131,0.804429844,-0.007731622,0.094463388,0.008923332,0.081361753,0.028731087,0.000825475,-0.022800742,0.074062474,0.005485251,-9.47E-05,0.019520611,0.000381054,2.417197279,1.384966648,1.918132615,2,prem
